Latsurf,Longsurf,SVM*MASL,ST*MASL,RF*MASL,ERF*MASL
-38.618265721680416,-60.77673137051032,-397.53643467706615,-389.0,-393.11,-374.254
-38.618102546136534,-60.93981228213549,-431.4526231699049,-380.0,-408.954,-421.424
-38.617939370592644,-60.91925856986533,-399.0154192735378,-380.0,-408.954,-413.676
-38.61777619504876,-60.847519895498465,-340.9473068216605,-380.0,-358.12,-341.372
-38.61761301950487,-60.84355603225478,-342.0827477864783,-380.0,-358.012,-341.166
-38.61744984396099,-60.86318327091323,-340.77599987763887,-380.0,-358.864,-352.856
-38.6172866684171,-60.82264780334568,-354.9420125397922,-380.0,-356.918,-340.158
-38.61712349287322,-60.78458776555572,-392.35129721248313,-389.0,-379.298,-364.054
-38.61696031732933,-60.81874394233065,-358.5499567776807,-380.0,-361.234,-339.858
-38.61679714178545,-60.82364160285559,-354.4242920262214,-380.0,-356.018,-339.694
-38.61663396624156,-60.89559779024674,-363.26021978562864,-380.0,-387.126,-384.112
-38.61647079069767,-60.6660261690863,-386.1682137262388,-389.0,-409.304,-412.96
-38.61630761515379,-60.82084531984158,-357.1506746194176,-380.0,-361.234,-339.268
-38.6161444396099,-60.882395009165414,-349.3877931871055,-380.0,-374.966,-367.16
-38.615981264066015,-60.925036381419424,-403.34966430913954,-380.0,-408.954,-417.908
-38.615818088522126,-60.83883016435481,-344.2040457151437,-380.0,-354.486,-339.17
-38.61565491297824,-60.806119481394745,-372.24231659712444,-380.0,-364.03,-338.316
-38.615491737434354,-60.84045185091706,-343.3718965907906,-380.0,-354.252,-338.74
-38.61532856189047,-60.77532327139843,-404.07477010902124,-389.0,-393.11,-374.462
-38.61516538634658,-60.97775316458998,-466.8893270177004,-380.0,-408.954,-416.716
-38.6150022108027,-60.85386904428643,-338.8176674288468,-380.0,-358.12,-342.996
-38.61483903525881,-60.84624231435716,-340.754209184347,-322.0,-345.592,-338.024
-38.61467585971493,-60.802147682887366,-377.6694607888618,-333.0,-354.75,-342.678
-38.61451268417104,-60.77685586031104,-404.15387720481016,-389.0,-387.968,-372.302
-38.61434950862716,-60.82360624512206,-355.9530690218845,-333.0,-344.414,-337.44
